F1	measurement1	measurement2
gen1	3.0469	7.1018
gen2	2.9096	6.842
gen3	3.0036	6.9921
gen4	2.9372	6.9318
gen5	3.0535	6.8975
gen6	3.0553	6.8766
gen7	2.9796	7.0289
gen8	2.7946	6.9571
gen9	3.0133	7.0056
gen10	3.1593	6.9632
gen11	2.9535	8.1553
gen12	3.0371	8.0708
gen13	3.0728	8.1957
gen14	3.2112	8.0505
gen15	2.8643	8.1865
gen16	2.8977	7.966
gen17	3.1038	7.886
gen18	2.961	7.9789
gen19	2.8619	8.119
gen20	3.0316	7.8884
gen21	4.0635	6.9369
gen22	3.9399	6.7675
gen23	4.0551	6.8768
gen24	3.89	7.1056
gen25	4.0086	6.9887
gen26	3.7995	7.0379
gen27	3.9507	7.0944
gen28	4.0462	6.788
gen29	3.9679	6.9355
gen30	4.1237	6.9296
gen31	3.8982	8.048
gen32	3.9818	8.0668
gen33	4.1521	7.9922
gen34	3.9962	8.0889
gen35	4.1227	8.2309
gen36	3.9304	8.0525
gen37	4.0008	7.9988
gen38	3.9217	8.0913
gen39	4.0587	8.0056
gen40	3.9749	7.8893
gen41	7.0485	7.099
gen42	6.9995	7.0219
gen43	6.9724	7.0262
gen44	7.1276	7.1213
gen45	7.1863	6.9725
gen46	6.9477	6.9867
gen47	7.0103	6.8729
gen48	6.9192	6.8336
gen49	7.068	6.9296
gen50	6.7635	7.0281
gen51	6.9459	7.8971
gen52	6.8666	8.0243
gen53	7.1073	7.8743
gen54	6.9288	7.9653
gen55	6.9989	7.9059
gen56	6.9999	7.8825
gen57	6.9751	7.8979
gen58	7.0397	7.9598
gen59	6.9736	8.0174
gen60	6.8336	7.9884
gen61	8.1064	6.9987
gen62	7.9755	6.942
gen63	7.8482	7.2136
gen64	8.001	6.9742
gen65	8.0071	6.859
gen66	8.0317	7.177
gen67	8.05	7.0326
gen68	8.1278	6.8881
gen69	7.9452	7.062
gen70	8.0261	7.127
gen71	7.9104	8.0107
gen72	8.0135	8.1848
gen73	7.9861	7.9725
gen74	7.8837	8.2213
gen75	8.1184	8.1509
gen76	7.9985	7.8055
gen77	8.0536	7.8319
gen78	7.9284	7.9426
gen79	7.9344	7.9814
gen80	8.0314	8.0009
gen81	4.0294	2.96
gen82	3.8664	3.069
gen83	4.0714	3.0816
gen84	4.1624	3.0712
gen85	3.9308	3.129
gen86	4.0858	3.0669
gen87	4.1254	3.1191
gen88	3.8406	2.8798
gen89	3.8559	2.998
gen90	4.0571	2.9843
gen91	3.8396	3.8989
gen92	4.0257	4.0614
gen93	3.8944	4.0508
gen94	4.1415	4.1692
gen95	3.9195	4.0591
gen96	4.0529	3.9356
gen97	4.0219	4.038
gen98	3.9078	3.8991
gen99	3.7829	3.998
gen100	3.9941	3.9952
gen101	5.0623	3.039
gen102	5.0799	3.0088
gen103	5.0941	2.9365
gen104	4.9008	2.944
gen105	5.0212	3.0444
gen106	5.0238	2.905
gen107	4.8992	3.0781
gen108	4.9258	3.0569
gen109	5.1082	2.9178
gen110	4.9869	2.9734
gen111	4.8812	3.8814
gen112	4.7798	3.8944
gen113	5.0986	4.1472
gen114	4.9481	4.0056
gen115	5.0327	3.8783
gen116	5.0234	3.9959
gen117	5.0021	3.8872
gen118	4.8996	3.8651
gen119	4.9053	3.9739
gen120	4.9626	4.0953
gen121	6.0129	3.0806
gen122	6.0656	3.0232
gen123	5.8832	2.901
gen124	5.9539	3.134
gen125	5.9738	3.029
gen126	5.8787	3.1479
gen127	5.8681	3.1138
gen128	6.0931	2.9316
gen129	6.0011	2.8708
gen130	5.9355	2.9927
gen131	5.9669	3.988
gen132	5.9156	3.9935
gen133	6.0498	4.0485
gen134	6.1488	3.9405
gen135	5.9454	3.985
gen136	5.9153	3.9565
gen137	5.9754	3.9921
gen138	6.0663	4.1535
gen139	5.9146	3.9394
gen140	5.8799	3.8653
