"Probe.set"	"Name"	"GB.acc"	"Symbol"	"Cytoband"	"C_1"	"C_2"	"C_3"	"C_4"	"C_5"	"C_6"	"C_7"	"C_8"	"C_9"	"C_10"	"C_11"	"C_12"	"C_13"	"C_14"	"DMD_4"	"DMD_5"	"DMD_6"	"DMD_7"	"DMD_10"	"DMD_11"	"DMD_12"	"DMD_13"	"DMD_14"	"DMD_15"	"DMD_16"	"DMD_17"	"DMD_18"	"DMD_19"	"DMD_20"	"DMD_21"	"DMD_22"	"DMD_23"	"DMD_24"
"1"	"200014_s_at"	"heterogeneous nuclear ribonucleoprotein C (C1/C2)"	"NM_004500"	"HNRNPC"	"Chr:14q11.2"	7.91884613	8.396220207	8.06637764	7.954816341	8.584641457	7.390048981	8.088675499	8.816465378	7.212393284	8.731858253	8.104897499	8.097390175	7.893188477	7.3787117	8.508345604	8.569149017	7.897123814	7.909184933	8.070075989	8.06012249	8.95467186	8.227277756	8.152427673	8.644211769	8.070972443	7.242900372	8.468006134	8.463130951	8.25334549	8.166806221	8.381303787	7.462899208	7.642746449
"2"	"200021_at"	"cofilin 1 (non-muscle)"	"NM_005507"	"CFL1"	"Chr:11q13"	11.07203865	11.61825466	11.69854546	11.18169212	11.65461636	10.63492775	11.12147427	11.66739368	10.34762192	11.39836788	11.49546528	11.36515808	12.10286236	10.88677311	12.0692606	12.33553028	11.84685612	11.97349262	11.78309441	11.79988766	12.45977592	11.65724754	12.17606831	12.32570744	12.46919823	11.58972168	12.5509119	11.72506237	12.29222775	12.13467312	12.23712063	11.72300434	12.00007153
"3"	"200027_at"	"asparaginyl-tRNA synthetase"	"NM_004539"	"NARS"	"Chr:18q21.2-q21.3"	9.114632607	9.687555313	9.108983994	9.248428345	10.05148697	8.634838104	9.156263351	9.590624809	8.440398216	9.447154045	9.979431152	9.266402245	9.499230385	9.012544632	9.852743149	9.952672958	9.551210403	9.696182251	8.530953407	9.164384842	10.00660515	9.118754387	9.219592094	9.463039398	9.545272827	8.750045776	9.550061226	9.693620682	9.392688751	9.723385811	9.845396996	8.800501823	9.769523621
"4"	"200028_s_at"	"StAR-related lipid transfer (START) domain containing 7"	"NM_020151"	"STARD7"	"Chr:2q11.2"	10.39944267	11.25322819	10.58315277	10.87135315	11.26197243	10.54699612	10.4520731	11.19188976	10.67276764	11.09828472	11.55867481	10.90721226	10.78682995	10.52784348	10.58760738	11.00228786	11.28385353	10.14565563	10.39817715	10.35647774	11.35864162	10.442276	10.31270027	10.37249088	10.10766888	9.451169968	10.09004593	10.64279747	10.46528149	10.42150402	10.5896368	9.845557213	10.09309578
"5"	"200033_at"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 5"	"NM_004396"	"DDX5"	"Chr:17q21"	8.756398201	9.725072861	9.683109283	9.483501434	9.674203873	8.852588654	9.751701355	9.686544418	8.331187248	9.688634872	10.03660583	9.861403465	10.0776825	8.790640831	10.12378502	10.26525307	9.751701355	9.392508507	9.424585342	9.88303566	10.04543781	10.07660198	9.751701355	10.72888374	10.13341618	9.469599724	10.44709969	10.09340763	10.04035664	10.19011211	10.41450214	9.435235023	9.914755821
"6"	"200040_at"	"KH domain containing, RNA binding, signal transduction associated 1"	"NM_006559"	"KHDRBS1"	"Chr:1p32"	8.866123199	9.629319191	9.351636887	9.115744591	9.766624451	8.788441658	9.162154198	9.835983276	8.252977371	9.259689331	9.486768723	9.080050468	9.168753624	8.481988907	9.625259399	9.681674004	9.905398369	8.906198502	8.926709175	9.264815331	10.09379196	9.195009232	9.205072403	9.472744942	9.096240044	8.483125687	9.433534622	9.224747658	9.447711945	9.188106537	9.358680725	8.368045807	9.092568398
"7"	"200047_s_at"	"YY1 transcription factor"	"NM_003403"	"YY1"	"Chr:14q"	7.135867119	8.12939167	7.794879436	7.876145363	8.393571854	7.405903339	8.057750702	8.444429398	7.32554388	8.743278503	8.475975037	8.346261024	8.432460785	7.814796925	8.46686554	9.140237808	9.347836494	7.836551189	7.505437374	7.529075146	9.34163475	8.174172401	7.780309677	8.878389359	7.634179592	6.866437435	7.860920429	8.430587769	8.596786499	7.936525822	8.692494392	7.970972061	8.337966919
"8"	"200059_s_at"	"ras homolog gene family, member A"	"BC001360"	"RHOA"	"Chr:3p21.3"	9.646119118	10.61881828	10.44189644	10.18594742	10.83677197	9.877574921	10.64559555	10.88545513	9.554924011	10.37531281	10.22343254	10.76538277	10.84232521	9.748157501	10.91321087	11.30578327	11.78075314	10.50098228	10.3206768	10.48428154	11.33013821	10.88594627	10.93515301	11.01873207	10.8751955	9.692742348	10.94373226	10.90504456	10.89972401	10.7755146	11.08511543	10.35487938	10.84826469
"9"	"200071_at"	"survival motor neuron domain containing 1"	"BF224259"	"SMNDC1"	"Chr:10q23"	6.149708748	7.038993835	6.740276814	7.08297205	7.242647648	6.238686085	7.090714455	7.456025124	6.530900955	8.054401398	7.296479225	7.154200077	7.142616272	7.060082436	7.256211281	7.67527771	7.829106331	6.113722324	6.628108978	6.631363869	7.927661896	7.086436272	6.573862553	7.556712627	6.615113735	6.074535847	6.595631599	7.097555161	7.174004555	6.769585609	6.545508862	6.705681324	6.577640057
"10"	"200075_s_at"	"guanylate kinase 1"	"BC006249"	"GUK1"	"Chr:1q32-q41"	7.289036751	7.69127512	7.572191715	7.431633949	7.971798897	7.336900711	7.367908478	8.047307014	7.127634048	7.734388351	7.565996647	7.866649151	8.031667709	7.083084583	8.182845116	8.046364784	8.385792732	8.10568428	7.947619915	7.967487335	8.370029449	8.012495995	8.374891281	8.519869804	8.599628448	7.765719891	8.627058029	8.196268082	8.275603294	8.450874329	8.532689095	7.983938694	8.579058647
"11"	"200082_s_at"	""	"AI805587"	""	""	10.95105743	11.22000027	10.85854721	10.78187466	11.47664642	10.26469326	11.05738163	10.73368168	10.08313179	10.99298763	11.05461407	10.84638405	10.9935627	9.816830635	11.3163414	10.3968668	10.67105865	10.89188385	11.15805817	11.04714775	11.0155859	11.33790874	11.57090759	11.03718948	11.63076305	10.74416065	11.69119263	11.70017052	10.08060074	11.59070683	11.07999611	10.43851757	11.11863708
