GeneID	Meas 1	Meas 2
G1	-0.119576	2.473875
G2	1.580492	3.371762
G3	-1.458619	1.510851
G4	-0.782687	1.784595
G5	-4.466847	0.073638
G6	-1.528917	1.80539
G7	-0.530434	2.08236
G8	0.798533	2.927447
G9	0.259873	2.926549
G10	-0.412064	2.59708
G11	1.548036	3.425861
G12	1.864443	3.339028
G13	0.77035	2.903162
G14	-2.295333	1.141056
G15	-1.800691	1.354489
G16	-1.462002	1.548774
G17	-0.015947	2.341256
G18	-1.499795	1.87809
G19	-2.468108	1.228944
G20	-0.650776	2.085131
G21	-0.640879	2.021416
G22	-4.044789	0.346461
G23	-1.292533	1.865505
G24	1.372668	3.42609
G25	0.016535	2.744287
G26	-0.186092	2.601798
G27	0.011306	2.241953
G28	-0.5963	2.173173
G29	2.847806	4.067306
G30	-0.933771	1.906511
G31	0.279352	2.833392
G32	0.364125	2.567251
G33	0.51132	2.917229
G34	0.534614	2.651419
G35	-0.310968	2.208092
G36	2.257571	3.744114
G37	0.235008	2.616798
G38	1.527912	3.010067
G39	-1.243427	1.660504
G40	0.401538	2.667367
G41	-0.608337	2.236127
G42	-0.100007	2.352079
G43	0.354314	2.745994
G44	-1.29849	2.195281
G45	-2.006841	1.472182
G46	2.288778	3.776968
G47	-0.560933	2.183112
G48	1.283795	3.427644
G49	0.570029	2.840146
G50	-0.509577	2.090769
G51	-2.735781	0.815037
G52	-0.540894	2.170932
G53	3.526103	4.372388
G54	-4.177812	0.266248
G55	-0.038503	2.295496
G56	0.472514	2.997072
G57	-1.047179	1.691411
G58	-2.691479	0.948375
G59	-0.019513	2.659269
G60	-2.282198	0.852415
G61	-0.608469	2.141028
G62	1.877351	3.384976
G63	0.460315	3.065085
G64	0.089276	2.680221
G65	-1.413846	1.477596
G66	-1.097437	1.778563
G67	0.641863	2.456824
G68	-0.115792	2.38076
G69	0.012569	2.692052
G70	-0.109046	2.605313
G71	0.509056	2.548917
G72	-1.208164	2.095611
G73	-2.012832	1.235048
G74	0.499348	2.956452
G75	-1.437902	1.797953
G76	2.691698	4.119385
G77	-1.807144	1.487075
G78	-0.369742	2.279333
G79	1.411987	3.716279
G80	-1.463981	1.515163
G81	2.222804	3.76263
G82	0.616401	2.950722
G83	-0.990175	2.091127
G84	-0.018681	2.521086
G85	-2.69309	0.816596
G86	1.10325	3.316845
G87	-0.00157	2.240241
G88	1.811706	3.690336
G89	3.165673	4.511234
G90	-0.800427	2.063749
G91	1.138947	3.218596
G92	2.88342	4.076748
G93	-0.394909	2.809626
G94	-1.68424	1.669852
G95	0.765004	3.02552
G96	-3.85877	0.360984
G97	0.27368	2.63521
G98	-1.40059	1.676699
G99	-0.40892	2.439712
G100	-3.205852	0.94425
G101	-2.009727	-1.32198
G102	-1.271148	-0.623404
G103	-0.176649	-0.230072
G104	-0.279015	-0.214848
G105	0.65734	0.127365
G106	-0.500517	-0.671891
G107	-2.04012	-1.749276
G108	0.247319	0.072322
G109	-3.502036	-1.982438
G110	0.270646	0.333899
G111	-2.145478	-0.966108
G112	4.476311	2.274265
G113	-2.073009	-1.389395
G114	0.271195	0.502954
G115	-1.798471	-1.087981
G116	0.647214	0.475167
G117	1.281387	0.418138
G118	0.728372	0.38512
G119	1.717793	1.271996
G120	1.74429	1.39447
G121	2.531023	1.438669
G122	0.611047	0.306658
G123	0.245058	-0.125592
G124	1.078984	0.683226
G125	2.694191	1.283927
G126	2.105292	1.496345
G127	0.085024	-0.274909
G128	-1.493319	-0.787948
G129	4.421417	2.325301
G130	-1.705649	-1.036298
G131	-1.156548	-0.715811
G132	0.143237	0.126152
G133	-0.89969	-0.225511
G134	-0.462869	-0.299084
G135	2.364167	1.203473
G136	2.170421	1.350385
G137	-1.900646	-0.936201
G138	-1.987949	-1.083395
G139	-1.808333	-1.056517
G140	-3.076724	-1.730651
G141	0.004921	0.047168
G142	1.983289	1.085013
G143	0.210969	0.302713
G144	1.276076	1.090271
G145	-0.609697	-0.266779
G146	-0.943789	-0.718688
G147	-1.679884	-1.288201
G148	0.976274	0.739702
G149	-1.708575	-1.007469
G150	-0.519635	-0.244321
G151	-1.89024	-1.240407
G152	-2.167355	-1.65592
G153	0.451255	0.383061
G154	-2.781652	-1.562759
G155	0.369041	0.282959
G156	-1.12212	-1.050189
G157	2.243339	1.150001
G158	1.769537	0.981892
G159	0.344826	0.151654
G160	1.619106	0.482684
G161	-1.095492	-0.7102
G162	0.680922	0.358854
G163	1.861018	1.260293
G164	-0.540481	-0.575658
G165	-0.885092	-0.720462
G166	0.695339	0.327733
G167	1.219358	0.432432
G168	1.65783	0.692799
G169	0.493649	0.806176
G170	-1.872403	-1.28569
G171	0.81182	0.448964
G172	1.194163	0.431513
G173	0.151217	0.167932
G174	-2.713866	-1.433539
G175	-1.013646	-0.575084
G176	1.85583	1.080442
G177	-1.975773	-0.879863
G178	-1.105093	-0.345829
G179	-1.602077	-1.03659
G180	-0.360007	-0.285215
G181	0.187562	-0.075466
G182	-0.218749	-0.26444
G183	-0.490521	-0.628694
G184	-0.034714	-0.419468
G185	0.283106	0.018323
G186	1.352688	0.771007
G187	0.765451	0.306072
G188	-0.255516	0.018414
G189	2.492729	1.447717
G190	-1.343326	-0.716664
G191	-1.153288	-0.678677
G192	1.930497	0.996678
G193	-2.098261	-1.008654
G194	-0.571882	-0.120294
G195	0.763719	0.928361
G196	3.220458	1.884516
G197	-1.032619	-0.653691
G198	-1.005178	-0.668263
G199	0.100453	0.279862
G200	0	-0.5
