GeneID	Meas 1	Meas 2
Gene1	-0.196701	-0.032904
Gene2	0.030853	-0.026381
Gene3	-0.107315	-0.118345
Gene4	-0.147629	-0.076967
Gene5	-0.084638	-0.086398
Gene6	-0.084793	-0.153426
Gene7	0.118556	0.07089
Gene8	-0.024668	-0.186993
Gene9	0.048197	0.062938
Gene10	-0.062533	0.000591
Gene11	-0.088416	-0.072215
Gene12	-0.038597	0.070627
Gene13	0.126304	0.130498
Gene14	0.179255	-0.057273
Gene15	-0.042788	-0.005685
Gene16	0.0673	0.095552
Gene17	0.026176	-0.050511
Gene18	-0.047308	-0.088331
Gene19	0.107261	0.071406
Gene20	0.046334	-0.022933
Gene21	0.078788	0.029131
Gene22	-0.126949	0.127485
Gene23	-0.014946	0.166402
Gene24	-0.001154	0.065347
Gene25	0.188124	0.061707
Gene26	-0.093895	-0.073651
Gene27	-0.13318	0.012755
Gene28	0.021865	0.266811
Gene29	-0.122945	-0.192044
Gene30	0.035776	0.063113
Gene31	0.173546	0.019642
Gene32	0.01434	-0.006094
Gene33	0.172098	-0.052845
Gene34	-0.15634	-0.022117
Gene35	0.059064	0.005239
Gene36	-0.049615	-0.098733
Gene37	-0.105125	-0.020841
Gene38	-0.021166	0.154532
Gene39	0.011068	0.028375
Gene40	-0.015575	0.008074
Gene41	0.0255	-0.005753
Gene42	-0.021377	0.099219
Gene43	-0.032066	-0.036605
Gene44	0.144011	0.030148
Gene45	0.004442	0.023134
Gene46	-0.179204	0.090693
Gene47	0.021163	-0.103046
Gene48	0.07795	0.147359
Gene49	-0.013622	0.065995
Gene50	0.066156	0.147043
Gene51	1.170361	1.104575
Gene52	1.037628	1.082378
Gene53	0.944495	0.865432
Gene54	1.030231	1.06132
Gene55	0.984853	1.119278
Gene56	0.973438	1.001138
Gene57	1.124643	1.026673
Gene58	0.867917	0.984095
Gene59	1.005458	0.943479
Gene60	1.03017	1.071893
Gene61	0.938117	0.865695
Gene62	1.060742	0.860874
Gene63	1.070705	0.886755
Gene64	0.939707	0.967239
Gene65	0.870696	0.853741
Gene66	1.126579	0.976771
Gene67	1.007155	1.121928
Gene68	1.086263	1.100483
Gene69	1.217911	0.803454
Gene70	1.030784	1.215043
Gene71	1.140691	0.814229
Gene72	1.072274	0.900017
Gene73	0.914482	1.049981
Gene74	0.975782	0.840125
Gene75	0.962436	1.057681
Gene76	1.036091	1.145033
Gene77	1.00229	1.05471
Gene78	1.002717	0.956861
Gene79	0.974523	0.816368
Gene80	1.03176	1.150889
Gene81	0.912298	0.974556
Gene82	1.102738	1.134895
Gene83	1.026984	1.045834
Gene84	0.802933	1.038372
Gene85	1.031736	1.064509
Gene86	0.850669	0.91727
Gene87	1.093115	0.848989
Gene88	1.224589	0.986756
Gene89	0.884848	1.016715
Gene90	0.970819	1.120678
Gene91	1.110066	1.028735
Gene92	1.105435	0.98808
Gene93	1.051895	0.87757
Gene94	1.099238	0.933178
Gene95	1.04619	1.04938
Gene96	1.059792	0.909992
Gene97	1.10263	0.974799
Gene98	0.966664	1.045425
Gene99	1.117284	0.994017
Gene100	0.864703	1.014232
Gene101	1.987433	2.026428
Gene102	1.898205	1.977944
Gene103	2.138056	2.106173
Gene104	2.097622	1.972756
Gene105	2.038554	1.892817
Gene106	1.946053	2.02046
Gene107	2.169453	1.845536
Gene108	2.064291	2.028068
Gene109	1.929807	2.047378
Gene110	1.97301	2.04903
Gene111	1.988262	2.061455
Gene112	1.922025	2.218913
Gene113	1.970838	2.112917
Gene114	1.968116	1.977672
Gene115	1.975319	1.904709
Gene116	2.104076	2.053264
Gene117	1.865691	1.98211
Gene118	2.126252	2.172821
Gene119	1.960244	2.035986
Gene120	2.117585	1.897824
Gene121	1.873978	2.010245
Gene122	1.970537	2.01458
Gene123	2.033164	2.056818
Gene124	1.855028	1.92639
Gene125	1.971391	2.013653
Gene126	1.98181	2.0827
Gene127	2.074432	1.978104
Gene128	1.908497	1.927334
Gene129	2.235589	2.007533
Gene130	1.978471	1.992026
Gene131	2.11088	2.120499
Gene132	2.008174	2.045924
Gene133	2.007641	1.942118
Gene134	1.998364	2.026417
Gene135	1.970209	1.925835
Gene136	2.091407	1.960095
Gene137	2.113869	1.880752
Gene138	2.009744	1.891871
Gene139	1.952047	1.893382
Gene140	2.106998	1.982486
Gene141	2.051865	1.963517
Gene142	1.977519	1.672414
Gene143	2.068807	2.093784
Gene144	1.956817	1.915107
Gene145	2.197514	1.971382
Gene146	2.220577	2.2447
Gene147	1.817849	2.090076
Gene148	2.024535	2.108831
Gene149	1.929723	2.123568
Gene150	2.066226	1.868786
