GeneID	Measurement 1	Measurement 2
Gene1	-0.012313	0.106688
Gene2	-0.007287	-0.000143
Gene3	-0.05845	-0.004476
Gene4	-0.001101	-0.012749
Gene5	0.030914	-0.043711
Gene6	0.093293	0.021146
Gene7	0.004094	-0.00667
Gene8	0.0804	0.026979
Gene9	-0.019033	0.043759
Gene10	-0.064979	-0.062539
Gene11	-0.036198	0.043416
Gene12	-0.028249	-0.04024
Gene13	0.031083	-0.037635
Gene14	-0.066774	-0.037291
Gene15	-0.006155	-0.015483
Gene16	-0.055141	-0.076095
Gene17	-0.137659	0.041327
Gene18	0.012601	-0.030649
Gene19	-0.042907	0.047986
Gene20	0.056768	0.098649
Gene21	-0.014895	0.014748
Gene22	0.057717	-0.019633
Gene23	0.052304	0.028796
Gene24	0.106344	-0.057071
Gene25	-0.032789	0.003053
Gene26	-0.057118	0.000616
Gene27	0.047452	-0.008406
Gene28	-0.02023	-0.034367
Gene29	-0.019216	-0.049533
Gene30	0.024101	-0.002488
Gene31	0.022189	0.035965
Gene32	0.019055	-0.014153
Gene33	0.055117	-0.071248
Gene34	0.042822	0.023077
Gene35	-0.058925	0.054574
Gene36	0.020098	-0.052215
Gene37	-0.029211	-0.142139
Gene38	-0.048974	0.049841
Gene39	0.005755	0.003827
Gene40	0.003424	-0.093337
Gene41	-0.026495	-0.030681
Gene42	0.027056	0.058468
Gene43	0.034086	-0.028751
Gene44	0.026928	-0.01324
Gene45	-0.025502	0.000236
Gene46	-0.066106	-0.001971
Gene47	-0.030533	-0.02527
Gene48	-0.028265	-0.057892
Gene49	0.004309	0.035521
Gene50	0.034575	0.036409
Gene51	0.086688	-0.064435
Gene52	0.243157	-0.090554
Gene53	0.01102	0.071668
Gene54	0.002645	-0.000734
Gene55	0.097032	-0.28148
Gene56	-0.000526	-0.014955
Gene57	0.140954	0.057749
Gene58	0.175785	0.075312
Gene59	0.088501	-0.016698
Gene60	0.114086	-0.058182
Gene61	0.040322	0.036576
Gene62	0.019101	-0.054892
Gene63	-0.069363	0.057874
Gene64	0.001104	-0.19558
Gene65	-0.110559	0.052201
Gene66	0.190797	0.160114
Gene67	-0.016541	0.073256
Gene68	-0.073243	0.055575
Gene69	-0.099074	-0.081335
Gene70	0.089431	-0.053897
Gene71	0.044823	0.130788
Gene72	0.088922	-0.048258
Gene73	0.107334	-0.175245
Gene74	-0.010473	-0.092657
Gene75	0.154732	0.092244
Gene76	0.016983	0.0041
Gene77	0.080405	0.041365
Gene78	-0.172403	0.059724
Gene79	0.017413	0.192427
Gene80	-0.048408	0.071412
Gene81	-0.073163	-0.231234
Gene82	-0.21319	0.138072
Gene83	-0.181037	0.13907
Gene84	-0.005234	-0.04539
Gene85	-0.008621	-0.06283
Gene86	-0.118974	0.102322
Gene87	-0.075414	-0.048911
Gene88	0.094728	-0.04024
Gene89	-0.018263	0.139968
Gene90	-0.006627	0.028056
Gene91	0.090502	0.188087
Gene92	0.145822	-0.079967
Gene93	-0.111798	-0.05607
Gene94	0.181329	0.170887
Gene95	0.015075	-0.064481
Gene96	-0.028299	-0.14225
Gene97	0.165012	-0.075594
Gene98	0.066638	0.015752
Gene99	-0.034636	0.037835
Gene100	-0.026404	0.017866
Gene101	-0.180832	-0.106736
Gene102	-0.298022	-0.098305
Gene103	0.356685	0.024926
Gene104	0.716403	0.130015
Gene105	0.679657	-0.366904
Gene106	0.690322	-0.820781
Gene107	-0.081023	-0.160508
Gene108	0.150851	0.662701
Gene109	-0.035757	-0.18172
Gene110	-0.000567	0.430547
Gene111	-0.129795	0.358438
Gene112	-0.058447	0.222943
Gene113	0.295605	-0.03642
Gene114	0.140579	-0.009348
Gene115	-0.40947	-0.300908
Gene116	0.082107	-0.311416
Gene117	0.794005	0.188575
Gene118	-0.016126	0.260342
Gene119	0.141753	0.621525
Gene120	-0.62401	-0.178323
Gene121	-0.240748	0.175885
Gene122	-0.137038	0.457679
Gene123	0.058157	0.642946
Gene124	0.266858	-0.223813
Gene125	-0.477501	-0.459447
Gene126	-0.096593	-0.063967
Gene127	-0.211139	0.147757
Gene128	-0.223286	-0.096983
Gene129	0.111386	0.246669
Gene130	0.431183	-0.424288
Gene131	0.137974	0.343112
Gene132	0.198221	0.293707
Gene133	0.33731	0.147771
Gene134	0.293824	0.377356
Gene135	-0.394929	0.17823
Gene136	-0.006963	0.13635
Gene137	0.040364	-0.425355
Gene138	0.722438	-0.275971
Gene139	0.270511	-0.434443
Gene140	0.022856	-0.444376
Gene141	0.108523	0.029189
Gene142	-0.617601	-0.067878
Gene143	-0.69961	-0.095166
Gene144	-0.111271	0.190209
Gene145	0.385705	0.011686
Gene146	0.167114	-0.004929
Gene147	-0.054069	0.134856
Gene148	-0.010703	-0.156695
Gene149	0.580323	-0.316529
Gene150	0.391672	-0.014349
Gene151	-0.249515	0.175383
Gene152	0.813739	-0.39788
Gene153	-0.119499	-0.311121
Gene154	-0.480837	0.714941
Gene155	-0.076359	-1.042453
Gene156	0.841517	0.016848
Gene157	0.777574	-0.007836
Gene158	-0.525113	-0.277149
Gene159	0.048371	-0.581799
Gene160	0.125814	0.050016
Gene161	1.123607	0.23913
Gene162	0.15523	0.887335
Gene163	0.995791	-0.235275
Gene164	-0.059631	-0.462638
Gene165	-0.136364	0.000773
Gene166	0.722227	0.31865
Gene167	-0.037207	-0.784474
Gene168	-0.181257	0.350091
Gene169	-0.388516	0.486877
Gene170	-0.125056	-0.035238
Gene171	-0.209341	-0.01684
Gene172	0.70744	0.151234
Gene173	-0.423695	-0.328312
Gene174	0.083065	-0.026104
Gene175	-0.024095	0.386586
Gene176	-1.488612	-0.159926
Gene177	0.5035	-0.560295
Gene178	0.442185	0.730312
Gene179	-0.202931	0.204531
Gene180	-1.309586	0.566293
Gene181	-0.484295	0.285014
Gene182	0.277662	-0.458859
Gene183	0.379727	0.85048
Gene184	-0.286024	-0.0124
Gene185	0.579025	-0.384883
Gene186	-0.154	-0.418763
Gene187	0.001585	-0.04588
Gene188	-0.703031	0.315066
Gene189	0.812047	0.192271
Gene190	0.06981	-0.304956
Gene191	-0.908322	-0.206838
Gene192	-1.394575	0.559044
Gene193	0.131207	-0.350166
Gene194	0.059611	-0.175034
Gene195	0.166154	0.908391
Gene196	-0.223273	-0.820052
Gene197	0.002621	0.138531
Gene198	-0.103035	-0.337259
Gene199	0.024772	0.101948
Gene200	0.462978	0.65369
Gene201	1.046209	0.928079
Gene202	1.128847	0.978007
Gene203	0.90439	1.057501
Gene204	1.119573	1.017015
Gene205	0.959443	0.950422
Gene206	0.939662	1.120269
Gene207	1.183361	0.988794
Gene208	0.903473	1.056282
Gene209	0.960304	0.996934
Gene210	1.008983	0.867715
