normalized expression values (log2)	Entrez ID	ProbeID	26	26	27	29	30	36	37	38	40	42	45	48	52	53	56	61	66	70	71	73	77	80	81	85	87	90	90	91	95	106
neurotensin receptor 2(NTSR2)	23620	33011_at	6.100344439	6.020385042	6.256630043	5.992414506	6.051511707	6.070739228	6.26405323	6.296343187	6.131080531	6.024572796	6.211063077	6.3368773	6.19878886	6.204039501	6.166467568	6.017056471	6.431971951	6.440100218	6.111929996	6.386298907	6.204578373	6.546524686	6.126194601	6.235347986	6.254759754	6.321232829	6.494134012	6.551104333	6.687552954	6.617115234
Rho related BTB domain containing 3(RHOBTB3)	22836	32216_r_at	4.316643259	4.825796829	4.379878477	3.902613755	4.216125389	4.045786898	4.04467296	4.651080355	4.198060496	3.677294929	4.771835026	4.383801838	4.551424183	4.318291725	5.0777018	4.222298585	5.009286599	4.556498503	4.308003487	4.633338307	5.234695442	4.782252233	5.178557072	5.000505735	4.663380683	4.999141382	4.582054266	4.987295607	5.022903131	5.629162944
nuclear transport factor 2 like export factor 2(NXT2)	55916	35136_at	4.241931927	4.313163034	4.161354434	4.263303394	4.199247883	4.099307342	4.454365102	4.195996972	4.234824863	3.930975268	4.532250947	4.121346703	4.288759571	4.284127348	4.440581515	4.124417539	4.495110316	4.652861427	4.219796412	4.597188512	4.667500822	4.454492402	4.707431823	4.80298225	4.510162647	4.575842519	4.452538878	4.469593899	4.382779279	4.886533945
myomesin 1(MYOM1)	8736	35137_at	6.408819577	6.117510352	6.815149615	6.546689426	6.456274848	6.284452799	6.560712011	6.480039853	6.605574783	6.398792049	6.603518436	6.575887361	6.386673176	6.43712976	6.428665748	6.398842426	6.500382808	6.576635873	6.366295899	6.72241867	6.424266547	6.675908985	6.518896453	6.756369869	6.563217449	6.650883258	6.567784898	6.642373379	6.996763954	6.990028517
fatty acid desaturase 1(FADS1)	3992	41720_r_at	5.417207429	5.410801553	5.280726602	5.127494756	5.3625381	5.722809587	5.375310018	5.416388391	5.474605473	5.004361882	5.995285085	5.082249003	5.84232401	5.53772582	5.836559508	5.657963044	5.534513582	6.085074892	6.053821895	5.771814723	5.922137866	5.916459337	5.877716766	6.083544152	5.996465126	5.921011012	5.831671019	5.751788843	6.016867604	6.215329507
actin like 6A(ACTL6A)	86	41278_at	4.615315266	5.013277527	4.288832596	4.302380446	4.460660287	4.935181565	4.519502358	4.510905135	4.494878318	4.297124863	5.122774676	4.83128121	4.979054731	5.083290289	4.908530177	4.46991688	5.074258992	4.945529752	5.318042248	5.27345739	5.209861669	4.922652168	5.168781857	5.265325846	4.853410515	4.93634372	4.954993585	4.851260067	5.136674761	5.302424433
DExD-box helicase 39A(DDX39A)	10212	149_at	4.812043775	4.954762377	5.061319196	4.68657521	4.801936088	5.145844795	4.669986846	4.742056026	5.047549579	4.902031256	4.949142114	5.030322107	5.035332508	4.926260114	4.983138137	4.982102334	5.028420238	4.950662974	4.98130992	5.172437481	5.182200673	5.042238801	4.975517526	5.300980533	5.05427906	5.055357673	5.18107586	5.010242046	5.176120954	5.226771517
inositol polyphosphate-4-phosphatase type I A(INPP4A)	3631	33508_at	4.625486972	4.658965378	4.400447049	4.765747075	4.76103289	4.422015949	4.543358745	4.640901238	4.337382614	4.332155122	4.070684419	4.28108011	4.331789497	4.415999245	4.407756416	3.877782607	4.238139374	3.941278509	4.274684167	3.898076001	3.957711426	4.258895281	4.15470184	3.959724364	3.998615203	4.122796045	3.990187336	4.110264882	4.173378068	4.023926926
microtubule associated protein 1B(MAP1B)	4131	39531_at	6.825399203	6.795758863	6.43243587	7.323326422	6.676769754	6.518734367	6.559702026	6.741962044	5.57655845	6.300768133	5.524015026	6.261869887	5.925938558	6.556850623	6.152181751	5.984395258	6.483806301	5.008779988	6.409840226	5.173466248	5.15972066	5.264271333	5.626074902	5.557017571	5.135638507	5.200387502	5.552369765	5.542973513	5.061689325	4.904901155
microtubule associated protein 2(MAP2)	4133	35422_at	6.280705456	6.155787903	6.310231774	6.785782567	6.434900043	5.987301103	6.682862222	6.336256753	6.055388378	6.264383861	5.669377333	6.812070483	5.665086776	6.150511064	6.324159718	6.129978168	5.726149967	5.530557432	5.968853646	5.535210755	5.777430819	5.585458127	6.078979787	5.728511552	5.549548973	5.702952563	5.51214115	5.795069008	5.13865014	5.259314666
zinc finger and BTB domain containing 18(ZBTB18)	104.72	35825_s_at	5.436597892	5.496349215	5.250560109	5.901241974	5.522336766	5.325592185	5.470147391	5.468842461	5.044033614	4.238235942	4.494846119	4.54980381	4.471495497	5.474830831	4.542815708	4.380794695	4.397277977	3.863049095	5.288621313	3.631216017	4.227721716	4.487064637	3.990632336	3.828537932	4.798068313	3.885731927	4.739756527	4.701615407	3.760371309	3.842172475
calmodulin 1(CALM1)	801	41288_at	8.509745081	8.514882568	8.585038919	8.548314799	8.60401537	8.495031321	8.596814368	8.556821967	8.438120646	8.502440086	8.508443443	8.693756702	8.573138699	8.537235818	8.505124423	8.496049055	8.441043953	8.367819386	8.469367364	8.496824297	8.451959885	8.45509072	8.39216467	8.397205997	8.426755759	8.429941598	8.461496846	8.404321587	8.179983753	8.164189702
centromere protein H(CENPH)	64946	1315_at	8.535706311	8.589005696	8.562755628	8.513052405	8.532905842	8.485178615	8.513375043	8.5473313	8.476881618	8.414235166	8.377138138	8.46145338	8.590399705	8.449632809	8.384779952	8.557775585	8.471203768	8.255737792	8.492922222	8.351744858	8.315431468	8.249832373	8.52384463	8.380594129	8.470391754	8.481835489	8.157226139	8.304902651	8.079826627	7.949983893
phospholipase C like 2(PLCL2)	23228	41796_at	5.499192323	5.782662099	5.750040706	5.535589039	5.78515959	5.578165087	5.418660963	5.761118301	5.583162859	5.719457489	5.561774233	5.475019848	5.790248159	5.713026704	5.573597478	5.779375273	5.584459259	5.361558437	5.698578306	5.341215976	5.422555147	5.208956854	5.735910791	5.614430705	5.619743237	5.466238915	5.296666387	5.238799513	4.978818645	4.839140616
N-ethylmaleimide sensitive factor, vesicle fusing ATPase(NSF)	4905	38719_at	7.900725221	8.146034481	7.872479217	7.871155402	8.01791171	7.790833968	7.576664412	7.943360333	7.821849184	8.05192488	7.875131098	7.8918369	8.088370254	7.788621289	7.780604394	8.019696258	7.831889037	7.505957765	7.856674561	7.531809596	7.724726066	7.222548364	8.122711749	7.983087375	7.850316336	7.875069131	7.198240204	7.278371955	6.756926197	6.547148566
