symbol	Young_1	Young_2	Young_3	Young_4	Young_5	Young_6	Aged_1	Aged_2	Aged_3	Aged_4	Aged_5	Aged_6
mmu-let-7g-5p	15.2	15.28	14.83	15.5	15.66	15.14	15.9	15.57	15.49	15.49	15.21	15.21
mmu-let-7i-5p	15.74	15.89	15.46	16.08	16.33	15.64	16.46	16.12	16.06	16.15	16.08	15.89
mmu-miR-1a-3p	16.49	16.84	16.57	16.36	16.33	17.15	16.5	16.75	17.11	16.71	16.91	16.76
mmu-miR-1a-3p	16.43	16.97	16.45	16.37	16.32	17.13	16.46	16.77	17.1	16.65	17	16.78
mmu-miR-15b-5p	8.81	8.93	8.25	8.74	9.02	8.41	8.85	8.22	8.94	8.21	8.56	6.68
mmu-miR-23b-3p	14.71	14.14	14.22	14.87	14.62	14.36	14.68	14.42	14.52	14.5	14.65	14.75
mmu-miR-27b-3p	19.29	19.34	18.88	19.57	19.7	18.99	19.55	19.54	19.41	19.57	19.5	19.44
mmu-miR-29b-3p	10.4	9.54	9.18	10.48	10.95	10.41	10.51	10.66	10.56	10.72	10.08	10.94
mmu-miR-29b-3p	9.85	9.54	8.77	9.68	10.88	10.32	11	10.54	10.53	10.43	11.49	10.79
mmu-miR-30a-5p	20.52	20.65	20.69	20.95	20.72	20.73	20.66	20.94	20.87	20.87	21.02	21.02
mmu-miR-30a-3p	15.36	15.3	15.4	15.52	15.74	15.15	15.57	15.55	15.55	15.66	15.64	15.69
mmu-miR-30b-5p	14.25	14.81	14.42	14.78	15.02	14.75	14.61	14.31	14.41	14.33	14.34	14.37
mmu-miR-99a-5p	15.72	15.44	15.93	15.11	14.9	15.05	14.99	15.16	15.16	15.18	15.23	15.5
mmu-miR-99b-5p	17.5	16.93	17.47	15.92	15.55	16.22	16.13	16.11	15.86	16.15	15.96	16.61
mmu-miR-101a-3p	16.96	17.01	16.94	17	17.19	16.74	17.09	16.99	17.06	17.09	17.13	16.96
mmu-miR-124-3p	6.37	0	0	0	0	2.94	5.91	6.2	6.15	0	0	5.24
mmu-miR-124-3p	6.37	7.75	0	0	0	0	0	0	6.15	0	0	0
mmu-miR-124-3p	6.37	6.75	0	0	0	2.94	0	5.2	6.6	5.35	0	0
mmu-miR-125a-5p	16.54	16.34	15.81	15.31	16.01	15.12	16.47	15.76	15.71	15.78	15.45	15.59
mmu-miR-125b-5p	14.91	14.67	14.64	14.19	15.01	14.37	15	14.67	14.71	14.87	14.26	14.78
mmu-miR-125b-5p	14.84	14.84	14.47	14.17	14.97	14.32	15.08	14.7	14.69	14.85	14.47	14.76
mmu-miR-126a-5p	18.14	18.32	18.09	18.66	18.35	18.34	18.38	18.31	18.18	18.32	18.34	18.23
mmu-miR-126a-3p	14.97	15.14	14.81	15.34	15.52	15.23	15.33	15.24	15.27	15.13	15.21	15.06
mmu-miR-127-3p	16.19	16.2	16.16	16.02	15.85	15.82	15.62	14.92	15.22	15.45	15.41	15.2
mmu-miR-128-3p	12.1	12.2	11.41	12.77	12.83	11.99	12.34	11.96	12.13	12.06	11.8	11.53
mmu-miR-128-3p	11.54	11.27	11.02	11.27	12.23	11.48	12.09	11.58	11.56	11.36	11.63	11.26
mmu-miR-130a-3p	11.39	11.52	11.64	12.5	12.51	11.55	12.23	11.78	11.88	12.04	11.37	12.31
mmu-miR-9-5p	7.74	6.54	0	8.68	0	0	6.28	5.99	7.73	7.46	0	5.03
mmu-miR-9-5p	8.15	7.54	0	0	6.63	2.73	6.28	5.99	7.48	6.14	0	6.03
mmu-miR-9-5p	7.15	7.54	0	7.68	6.63	5.54	7.28	6.99	7.18	6.72	0	7.35
mmu-miR-9-3p	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-9-3p	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-9-3p	0	0	0	0	0	0	4.77	0	3.55	0	0	0
mmu-miR-132-3p	8.81	0	7.25	7.74	0	7.93	9.9	9.05	9.22	9.21	9.56	8.8
mmu-miR-133a-3p	21.12	21.22	21.06	21.43	21.77	21.42	21.24	21.09	21.24	21.28	21.14	21.01
mmu-miR-133a-3p	21.1	21.22	21.05	21.44	21.77	21.42	21.23	21.09	21.24	21.27	21.13	21.01
mmu-miR-134-5p	0	6.61	7.25	7.74	0	7.19	6.77	7.05	7.19	7.79	0	6.68
mmu-miR-135a-5p	0	6.54	0	0	0	0	0	4.99	4.07	0	0	5.03
mmu-miR-135a-5p	0	6.54	0	0	0	0	4.7	0	0	5.14	0	0
mmu-miR-136-5p	11.13	10.93	11.42	11.33	11.45	10.92	9.41	8.96	9.53	9.85	10.15	9.56
mmu-miR-137-3p	0	0	0	0	0	0	4.7	4.99	0	5.14	0	0
mmu-miR-138-5p	6.15	8.13	0	7.68	8.95	6.73	7.7	4.99	7.39	7.46	9.49	5.03
mmu-miR-138-5p	7.15	8.13	7.18	0	8.63	6.98	8.02	6.57	6.94	7.72	0	7.62
mmu-miR-140-5p	7.81	9.42	9.57	9.74	0	9.19	9.16	9.7	9.06	9.38	10.15	9.56
mmu-miR-140-3p	12.94	13.04	12.88	13.62	13.31	12.89	13.39	13.28	13.3	13.35	12.95	13.72
mmu-miR-141-3p	6.22	0	0	0	0	6.12	0	7.05	6.01	6.79	0	8.1
mmu-miR-142-5p	12.92	12.66	12.08	13.6	12.98	12.98	13.83	13.85	13.46	13.12	12.22	12.88
mmu-miR-142-3p	8.96	8.54	7.18	8.68	8.63	9.19	9.09	9.84	8.55	8.46	8.49	9.28
mmu-miR-144-3p	10.54	10.75	11.2	10.89	10.54	10.4	10.47	10.37	10.18	9.6	8.71	10.15
mmu-miR-145a-5p	13.51	13.78	13.45	14.07	13.36	13.59	13.36	13.13	13.18	13.21	13.02	13.27
mmu-miR-146a-5p	10.92	11	10.42	12.5	11.02	12.99	11.8	12.15	13.4	12.49	13.61	13.14
mmu-miR-149-5p	13.7	13.9	13.14	13.2	14.17	13.26	13.98	13.23	13.38	13.64	13.3	13.15
mmu-miR-150-5p	11.75	12.2	11.78	12.65	12.63	11.98	12.93	11.75	11.78	11.87	12.47	11.14
mmu-miR-151-3p	16.35	16.49	16.56	16.26	16.38	16.09	16.59	16.33	16.29	16.42	16.41	16.12
mmu-miR-152-3p	11.25	11	10.91	11.27	10.68	11.39	11.85	11.33	11.44	11.43	11.44	11.9
mmu-miR-153-3p	0	0	0	0	6.7	5.12	6.35	6.64	5.55	6.79	0	6.1
mmu-miR-154-5p	6.22	0	7.25	0	0	6.71	4.77	0	3.55	0	8.56	0
mmu-miR-155-5p	9.74	9.13	8.18	10	9.44	9.47	10.22	10.23	9.91	9.72	10.82	9.62
mmu-miR-10b-5p	22.55	22.33	23.2	22.27	21.94	22.57	22.05	22.39	22.46	22.57	22.55	22.89
mmu-miR-129-5p	0	0	0	0	0	0	0	5.12	0	0	0	0
mmu-miR-129-5p	6.29	0	0	0	0	0	0	0	2.62	0	0	0
mmu-miR-181a-5p	16.94	17.13	16.73	17.16	17.17	16.5	16.97	17.11	17	17.1	17.08	16.71
mmu-miR-181a-5p	16.94	17.14	16.68	17.25	17.22	16.51	17.02	17.15	16.97	17.15	17.03	16.66
mmu-miR-182-5p	11.2	10.67	11.92	11.25	11.21	8.03	11.54	9.91	9.32	11.83	12.18	12.25
mmu-miR-183-5p	10.54	9.2	11.25	11.2	9.28	7.66	10.44	8.86	7.36	10.91	11.37	11.59
mmu-miR-184-3p	0	0	0	0	0	4.38	5.77	0	4.55	6.21	0	0
mmu-miR-185-5p	8.81	8.2	9.25	7.74	9.02	9.03	9.29	9.45	8.89	9.29	8.56	9.42
mmu-miR-186-5p	15.29	15.56	15.27	15.8	15.65	15.62	15.25	15.17	15.1	15.18	15.19	15.25
mmu-miR-187-3p	6.22	0	0	7.74	0	5.38	4.77	5.05	5.87	6.21	0	0
mmu-miR-188-5p	0	0	0	7.81	0	6.19	4.84	5.12	5.79	6.28	0	5.17
mmu-miR-24-1-5p	8.15	7.54	8.77	0	7.63	7.69	8.28	7.57	7.88	8.46	0	8.94
mmu-miR-24-3p	13.32	13.32	13.3	13.81	13.14	13.8	13.27	13.55	13.63	13.72	13.61	14.04
mmu-miR-24-3p	13.42	13.4	13.36	13.55	13.31	13.86	13.36	13.82	13.59	13.52	14.21	14.09
