ID;chromosome;Start_coord;End_coord;Blood;SC_Fat;Muscle;Gene_centric;CGI_centric;Pval;Pval_corrected
cg00004192;chr22;21398553;21398553;.833852763;.856071151;.835512295;Proximal promoter;CGI Shore;.146280491;0
cg00004775;chr22;46516503;46516503;.819284765;.684292048;.62837237;Intergenic;CGI Shore;2.67E-06;1
cg00012194;chr22;50720288;50720288;.773287571;.80949015;.812670449;Gene body;CpG islands;.029556487;0
cg00013618;chr22;22380839;22380839;.833560195;.872448025;.910452128;Intergenic;Non CGI;.001582952;0
cg00014104;chr22;22220367;22220367;.643742593;.52354964;.611563204;Gene body;CGI Shore;.008324831;0
cg00014733;chr22;29730659;29730659;.884748771;.867136727;.83508841;Proximal promoter;Non CGI;.006858962;0
cg00017461;chr22;30663316;30663316;.058946679;.550015338;.758684522;Proximal promoter;Non CGI;3.4E-18;1
cg00021762;chr22;27832684;27832684;.836642897;.806763595;.777422729;Intergenic;CGI Shore;.010556822;0
cg00022145;chr22;49452167;49452167;.802907954;.797388278;.826507656;Intergenic;CGI Shelf;.306882418;0
cg00024416;chr22;24240387;24240387;.291084822;.439877738;.383863104;Gene body;CGI Shelf;.021200128;0
cg00034755;chr22;50918361;50918361;.590006707;.701623183;.749911779;Distal promoter;CGI Shore;.000209614;0
cg00039057;chr22;30162510;30162510;.262258996;.19719385;.128888509;Proximal promoter;CGI Shore;1.82E-05;0
cg00040575;chr22;18506180;18506180;.545862854;.493128678;.454407894;Gene body;CGI Shore;.003150546;0
cg00040590;chr22;17897985;17897985;.717205258;.791578262;.864566962;Intergenic;CpG islands;2.22E-05;0
cg00044729;chr22;40290976;40290976;.849853312;.762154056;.752446035;Proximal promoter;Non CGI;.000481906;0
cg00045748;chr22;42908796;42908796;.892105523;.678990631;.76243076;Gene body;CGI Shore;8.29E-09;1
cg00047287;chr22;51016899;51016899;.855008741;.737359784;.501302693;Proximal promoter;CpG islands;2.55E-11;1
cg00047815;chr22;45311501;45311501;.868019098;.874788208;.887185154;Gene body;CGI Shore;.230967795;0
cg00051704;chr22;21353809;21353809;.878197799;.876164189;.856798226;Distal promoter;CGI Shore;.041852333;0
cg00057476;chr22;29708246;29708246;.78681683;.647792868;.408092976;Gene body;CGI Shore;1.82E-11;1
cg00058879;chr22;40082173;40082173;.189207547;.198177766;.206761313;Gene body;CpG islands;.716263565;0
cg00059424;chr22;30988148;30988148;.055480912;.06324597;.065320284;Proximal promoter;CpG islands;.216642724;0
cg00062282;chr22;50747369;50747369;.342231946;.272996926;.509869358;Proximal promoter;CGI Shore;4.77E-08;1
cg00062437;chr22;23728539;23728539;.535418955;.339146253;.211563725;Distal promoter;CGI Shore;5.84E-12;1
cg00071137;chr22;39096076;39096076;.330899212;.232890029;.384046171;Proximal promoter;CGI Shore;3.19E-05;0
cg00077299;chr22;18632618;18632618;.480932769;.514363593;.510028589;Proximal promoter;CGI Shore;.013605452;0
cg00077838;chr22;47020733;47020733;.815909156;.774024868;.81376684;Distal promoter;CGI Shore;.036860322;0
cg00079563;chr22;43253521;43253521;.044726552;.039011754;.035870181;Proximal promoter;CpG islands;.417856761;0
cg00080148;chr22;44205183;44205183;.876812294;.892054034;.901558571;Gene body;CGI Shelf;.067400687;0
cg00080682;chr22;51176543;51176543;.748175677;.80765874;.795424626;Proximal promoter;Non CGI;.005831013;0
cg00082787;chr22;29424662;29424662;.892240357;.898706295;.697892981;Gene body;CGI Shore;2.36E-07;1
cg00082897;chr22;50967392;50967392;.821592671;.833101459;.797371108;Gene body;CpG islands;.007688372;0
